date,region,product,category,quantity,unit_price,revenue,salesperson
2024-01-05,North,Widget A,Electronics,10,299.99,2999.90,Alice
2024-01-08,South,Gadget B,Electronics,5,149.99,749.95,Bob
2024-01-12,East,Tool C,Hardware,20,49.99,999.80,Charlie
2024-01-15,West,Device D,Electronics,8,499.99,3999.92,Diana
2024-01-18,North,Component E,Hardware,50,9.99,499.50,Alice
2024-01-22,South,Widget A,Electronics,12,299.99,3599.88,Bob
2024-01-25,East,Gadget B,Electronics,7,149.99,1049.93,Charlie
2024-01-28,West,Tool C,Hardware,30,49.99,1499.70,Diana
2024-02-02,North,Device D,Electronics,6,499.99,2999.94,Alice
2024-02-05,South,Component E,Hardware,100,9.99,999.00,Bob
2024-02-08,East,Widget A,Electronics,15,299.99,4499.85,Charlie
2024-02-12,West,Gadget B,Electronics,9,149.99,1349.91,Diana
2024-02-15,North,Tool C,Hardware,25,49.99,1249.75,Alice
2024-02-19,South,Device D,Electronics,4,499.99,1999.96,Bob
2024-02-22,East,Component E,Hardware,75,9.99,749.25,Charlie
2024-02-26,West,Widget A,Electronics,11,299.99,3299.89,Diana
2024-03-01,North,Gadget B,Electronics,14,149.99,2099.86,Alice
2024-03-04,South,Tool C,Hardware,18,49.99,899.82,Bob
2024-03-07,East,Device D,Electronics,10,499.99,4999.90,Charlie
2024-03-11,West,Component E,Hardware,60,9.99,599.40,Diana
2024-03-14,North,Widget A,Electronics,9,299.99,2699.91,Alice
2024-03-18,South,Gadget B,Electronics,6,149.99,899.94,Bob
2024-03-21,East,Tool C,Hardware,22,49.99,1099.78,Charlie
2024-03-25,West,Device D,Electronics,7,499.99,3499.93,Diana
2024-03-28,North,Component E,Hardware,80,9.99,799.20,Alice
2024-03-30,South,Widget A,Electronics,13,299.99,3899.87,Bob
2024-04-02,East,Gadget B,Electronics,8,149.99,1199.92,Charlie
2024-04-05,West,Tool C,Hardware,35,49.99,1749.65,Diana
2024-04-08,North,Device D,Electronics,5,499.99,2499.95,Alice
2024-04-11,South,Component E,Hardware,90,9.99,899.10,Bob
